year,title,speaker,copresented,copresenter,org,nonmale,location,international,description,votes,top_10,gave_talk
2010,"Hello, Newsroom! Build out a GIS-enabled web app in < five minutes",Brian Boyer,0,NA,Chicago Tribune,0,"Chicago, IL",0,Fire up a server in Amazon's cloud and deploy http://tinyurl.com/hellonewsroom -- all in less time than it takes to make me a sandwich.,18,1,1
2010,"Google Charts. Easy, Clear, Indestructable.",Ben Welsh,0,NA,Los Angeles Times,0,"Los Angeles, CA",0,They aren't interactive. They don't impress trendy developers. But they make a point. (And they'll work in IE 6). In this talk I'll show you how you can use Django and Google Charts to get your Tufte on.,17,1,1
2010,Data Manipulation or Graphics with R,Bill Alpert,0,NA,Barron's,0,"New York, NY",0,I could show how handily R allows you to munge data or do exploratory data graphics -- whichever this audience requests.,16,1,1
2010,Using an API with Excel,Derek Willis,0,NA,New York Times,0,"Silver Spring, MD",0,Want to use an API to fetch data but don't have much programming experience? You can start with Excel. I'll show you how using the NYT Congress API.,16,1,1
2010,"Like Snowboard Cross, but With Data",Scott Klein,1,Jeff Larson,ProPublica,0,"New York, NY",0,"Use ProPublica's new open source tools (to be released at NICAR) TableFu and TableSetter to create full featured data apps using Google Spreadsheets. We'll take a data set, copy and paste it into Google Spreadhseets, and publish it on the actual internets. And somebody will time us.",15,1,1
2010,Essential Queries for SQL Server,Anthony DeBarros,0,NA,USA Today,0,"McLean, VA",0,Five SQL queries you may have never tried that will save you time and maybe alter the universe as you know it. With handout.,15,1,1
2010,The new free visualization tool,Sarah Cohen,0,NA,Reporter's Lab,1,"Durham, NC",0,Tableau public takes on ManyEyes,12,1,1
2010,The hidden power of Javascript,Michelle Minkoff,0,NA,Medill School of Journalism,1,"Washington, DC",0,"If you know some HTML and CSS, Javascript is a great next step to complete your triangle of web savvy.  It'll help bring broadly-compatible interactivity to your news site.  I'll show you some tricks with the Google Visualization API -- dynamic graphs even work on the iPhone and some other mobile devices!",10,1,1
2010,Easy peasy due diligence,Danielle Cervantes,0,NA,San Diego Union-Tribune,1,"San Diego, CA",0,"Roll through a seven-step process to vet sources, local political candidates, executives and other people of interest.",10,1,1
2010,Easy interactive charts with Open Flash Charts,Tim Henderson,0,NA,Pew Charitable Trusts,0,"Washington, DC",0,"Open Flash Charts is an easy way to make interactive Flash charts and it's all free. I'll show you a tool allowing any reporter to make a basic one just by typing in the values, and get an embed link to paste into the CMS system with the story",10,1,1
