title,speaker,description,votes
5 algorithms in 5 minutes,Proposed by Chase Davis 3 months ago.,"Five algorithms from the data science world that will help you kick ass on the data journalism circuit. But wait, there's more! This presentation will be accompanied by a Github repo with working code and examples of journalistic applications.",51
Django Retrained: Five ways coding like a Web developer can make you a better investigative reporter,Proposed by Ben Welsh 3 months ago.,"It is the news that should fear your hand, not the other way around.",43
Be Your wn Nate Silver.,Proposed by Jeff Larson 3 months ago.,I have 5 minutes to show you how to predict elections. And I'll do it.,42
Fucking designers!,Proposed by Aron Pilhofer and Miranda Mulligan 3 months ago.,"They are always pointing out shit that has nothing to do with function, always up in your grill about some tiny tweak here, some UX improvement there. Who needs them?!? Actually, we do -- badly. Give us five minutes, and we'll show four practical examples of how design thinking has improved our work, and could improve your's too. Also, we'll show cute cats.",38
Showing big datasets on small screens,Proposed by Katie Park 3 months ago.,"When presenting huge data stories, make sure your mobile users aren't left out or forced to load massive datasets. Using WaPo's 2012 mobile election results as an example, I'll talk about creating lightweight data-driven web apps and tailoring the experience for mobile.",33
Casino Driven Design,Proposed by Al Shaw 3 months ago.,"Sometimes you want your readers to pop potato chips for hours in a room with no windows but plenty of free drinks. Ditch Mechanical Turk, and embrace Casino Driven Design. We've had readers practice ""natural"" language processing on up to 25,000 PDFs a head in our casino, and yours can too!",30
Let's make fun games for news,Proposed by Sisi Wei 3 months ago.,Want to make a news game with your data? I'll show you the exact 4 requirements on how to make a successful one. [Warning. News games are not gamification. They're real games.],29
The soldering iron is the next great CAR tool.,Proposed by Matt Waite 3 months ago.,Ever wanted to do a story that needed data that no one kept? What if you could create your own data gathering machines? You can. Cheap. And easy. How hardware hacking is the next data journalism skill.,28
Z-Scores: How you can compare apples with oranges,Proposed by Rob Gebeloff 3 months ago.,"A school has 23.8 students per classroom and average SAT score of 2050, and an attendance rate of 93.5 percent. By standardizing disparate values with z-scores, you can more precisely compare variables that are on different scales and build better indexes.",26
Every State's Elections Are Weird,Proposed by Jacob Harris 3 months ago.,"Practically every state has its own weird quirks in elections, and I saw them all in 2012. If I'm inspired enough (and can speak fast enough), I'll say all 50. One every 10 seconds. This will be hard.",25
Teaching code: what we’ve learned from Code with me,Proposed by Sisi Wei 3 months ago.,"How Romeo and Juliet, cheap index cards, robots and root beer floats can teach students how to code. I’ll share the successes (and failures) from our workshops, and in 5 minutes leave you armed with new teaching tools. ",23
You need ILENE,Proposed by Jennifer LaFleur 3 months ago.,Kindly come learn about the best and most polite language for use in programming activities...ever developed. Thank you. (Featuring The Jeff Larson),22
Community organizing for civic data projects ,Proposed by David Eads 3 months ago.,"The Supreme Chi-Town Coding Crew, a funky group of volunteer developers who aim to be as diverse as Chicago, has built a scraper and API for inmate data in the nation's largest jail. Learn about the project, the many failures that preceded it, and why this one is succeeding.",20
Responsive Design Quiet Time,Proposed by Ryan Pitts 3 months ago.,"Heard about responsive design but not sure how it works? Embarrassed at the water cooler when everyone's all ""Seriously, could you *believe* that max-width 768 on NPR yesterday? So badass.""? I'll build a stupid simple live demo from scratch, you'll leave knowing how CSS can target common screen widths. So basic, no talking required.",20
Roll your own website change-tracker,Proposed by Jeremy Singer-Vine 3 months ago.,"You want to keep tabs on changes to a website, but Versionista.com and other out-of-the-box services aren't cutting it. I'll show you how to roll your own quickly using Git's post-receive hooks and your programming language of choice.",19
"Sing for me, Data: The rise of the Symphographic",Proposed by Michael Keller 3 months ago.,People are getting bored with infographics. Symphographics are the new hot shit. Michael and Brian will show off their data-driven dance music with csv soundsystem and how sound can bring out narratives in data. Featuring the first ever live symphographic mashup. ,19
Diff This,Proposed by Jeremy Singer-Vine 3 months ago.,"This presentation will take a whirlwind tour through your options for ""diffing"" two similar text files. I'll present the pros, cons, and in-the-wild examples.",18
Juking the stats,Proposed by Ben Poston 3 months ago.,"Crime is down everywhere, right? Maybe not. I'll show you how to dig into your city or county's FBI crime data to see if it's bogus or not.",18
Finding hidden APIs and Data via Apps,Proposed by Sebastian Mondial 3 months ago.,"Contrary to many Websites Apps have ""unlimited"" APIs - no Captcha, no throtteling or access limits. I'll show how to find them -even for beginners.",18
Seeing the secret ballots,Proposed by Matt Clark 3 months ago.,How did voters for Obama or Romney vote for mayor of your city? How did different demographic groups vote in your area's races?  Here's how to use ecological inference to estimate answers.,14
5 things to love about D3js before you even begin drawing,Proposed by Julian Burgess 3 months ago.,Think D3js is just about SVG? There's much more to it than just that. A helpful overview of stuff you'll want to use in every interactive.,14
Build an army of robots (in the cloud),Proposed by Alastair Dant 3 months ago.,"Your whistle stop guide to splitting big processing tasks into tiny pieces, running them in parallel and then combining the results. World domination optional.",14
Digging through the rubbish pile,Proposed by Chris Amico 3 months ago.,"A quick tour through my favorite pieces of code I threw away, and what I learned from it.",13
